,text,dataset,aspect_str,aspects
0,We O really O enjoyed O shooting O with O the O Canon O PowerShot O SD500 B-aspect . O,Canon PowerShot SD500.txt,SD500[+2],['SD500']
1,It O has O an O exterior O design B-aspect that O combines O form O and O function O more O elegantly O than O any O point-and-shoot O we O 've O ever O tested O . O,Canon PowerShot SD500.txt,design[+2],['design']
2,"A O Digic O IIpowered O image-processing B-aspect system I-aspect enables O the O SD500 O to O snap O a O limitless O stream O of O 7-megapixel O photos O at O a O respectable O clip O , O its O start-up O time O is O tops O in O its O class O , O and O it O delivers O decent O photos O when O compared O to O its O competition O . O",Canon PowerShot SD500.txt,image-processing system[+1],['image-processing system']
3,The O SD500 O rivals O the O Canon O G6 O in O image B-aspect quality O . O,Canon PowerShot SD500.txt,image[+2],['image']
4,I O 've O had O it O for O about O a O month O and O it O is O simply O the O best O point-and-shoot O your O money O can O buy O . O,Canon PowerShot SD500.txt,,[]
5,I O sincerely O question O the O CNET O reviewer O 's O ability O and/or O their O bias O . O,Canon PowerShot SD500.txt,,[]
6,"If O you O want O something O resembling O a O REAL O and O professional O review O before O plunking O down O your O $ O 500.00 O , O I O suggest O going O to O dpreview O or O dcresource O and O reading O the O reviews O there O . O",Canon PowerShot SD500.txt,,[]
7,I O post O under O JTL O at O dcresource O ... O check O out O my O images O if O you O want O to O see O what O this O camera O can O do O . O,Canon PowerShot SD500.txt,,[]
8,I O thought O given O all O the O `` O 10 O '' O reviews O about O this O camera O that O I O would O buy O it O in O spite O of O being O a O bit O pricey B-aspect . O,Canon PowerShot SD500.txt,pricey[-1],['pricey']
9,I O did O see O the O review O here O and O other O places O about O a O cracked O LCD B-aspect screen O . O,Canon PowerShot SD500.txt,LCD[-1],['LCD']
10,I O figured O that O the O few O people O who O reported O that O the O LCD O screen O cracked O on O them O was O episodic O and O it O would O never O happen O to O me O . O,Canon PowerShot SD500.txt,,[]
11,"I O received O the O SD500 O on O Monday O , O charged O the O battery O and O inserted O the O SD O card O that O came O with O it O , O took O a O few O pictures O and O waited O until O Thursday O when O the O 2 O GB O SD O card O came O that O I O had O ordered O . O",Canon PowerShot SD500.txt,,[]
12,The O camera O was O sitting O on O my O home O desk O waiting O for O the O new O digital O card O and O the O weekend O for O the O first O round O of O serious O shooting O . O,Canon PowerShot SD500.txt,,[]
13,It O was O NOT O dropped O or O sat O on O or O subjected O to O any O other O trauma O -- O it O just O sat O on O my O desk O in O my O home O office O � O where O no O one O goes O but O me O . O,Canon PowerShot SD500.txt,,[]
14,"When O I O went O to O put O in O the O new O SD O Card O I O looked O at O the O LCD B-aspect Screen O -- O CRACKED O -- O and O the O fluid O gave O a O Jackson O Pollock O type O appearance O to O the O screen O , O black O and O blue O and O purple O blotches O and O streaks O -- O useless O . O",Canon PowerShot SD500.txt,LCD[-1],['LCD']
15,I O have O called O Cannon O they O are O sending O me O an O RFA O -- O I O will O let O you O know O if O they O treat O me O well O or O otherwise O . O,Canon PowerShot SD500.txt,,[]
16,This O camera B-aspect is O truely O superb O . O,Canon PowerShot SD500.txt,camera[+3],['camera']
17,"The O startup O time O , O quality O of O pictures B-aspect and O videos O is O outstanding O . O",Canon PowerShot SD500.txt,pictures[+2],['pictures']
18,Some O more O manual B-aspect control I-aspect would O have O been O nice O . O,Canon PowerShot SD500.txt,manual control[-1],['manual control']
19,"And O shooters O in O low O light O should O either O select O the O iso O manually O and/or O make O sure O that O they O do O n't O shake O much O , O as O the O camera O 's O chip O goes O for O detail O over O smoothness O . O",Canon PowerShot SD500.txt,,[]
20,Also O ensure O that O the O low O light O focusing O LED O is O pointing O at O the O point O you O want O in O focus O - O and O use O the O focus O lock O something O the O cnet O reviewer O was O obviously O not O familiar O with O . O,Canon PowerShot SD500.txt,,[]
21,"I O have O showed O the O pictures O I O have O taken O to O many O of O my O colleagues O , O alot O of O whom O have O expensive O dslrs O . O",Canon PowerShot SD500.txt,,[]
22,They O say O that O they O are O the O best O pictures B-aspect they O have O ever O see O from O a O compact O . O,Canon PowerShot SD500.txt,pictures[+3],['pictures']
23,These O are O some O shaky O ones O I O took O just O after O delivery O : O,Canon PowerShot SD500.txt,,[]
