,text,dataset,aspect_str,aspects
0,"Works B-aspect great O , O no O odor O , O and O uses O regular O bags O . O",Diaper Champ.txt,Works[+3],['Works']
1,Ca O n't O complain O at O all O ! O,Diaper Champ.txt,,[]
2,"So O far O 3 O weeks O , O we O 've O had O no O problems O with O the O Diaper B-aspect Champ I-aspect at O all O . O",Diaper Champ.txt,Diaper Champ[+2],['Diaper Champ']
3,It O contains O the O smell O from O our O baby O 's O diapers B-aspect and O we O can O use O just O about O any O kind O of O bag O inside O . O,Diaper Champ.txt,diapers[+2],['diapers']
4,I O also O sprinkled O baking O soda O in O the O bottom O of O the O Diaper O Champ O to O help O absorb O odors O - O every O once O in O awhile O I O just O empty O the O old O baking O soda O out O and O replace O it O . O,Diaper Champ.txt,,[]
5,"I O do O n't O know O if O we O 'll O run O into O trouble O down O the O road O with O odors B-aspect , O but O so O far O I O have O no O complaints O and O I O 'm O very O happy O not O to O have O to O buy O those O refills B-aspect . O",Diaper Champ.txt,"odors[+2],refills[+2]","['odors', 'refills']"
6,We O started O with O the O Diaper O Genie O as O most O new O parents O do O . O,Diaper Champ.txt,,[]
7,We O hated O that O thing O ! O,Diaper Champ.txt,,[]
8,The O `` O new O '' O design O still O needs O lots O of O improvement O ! O,Diaper Champ.txt,,[]
9,The O bags O never O fit O right O and O then O it O never O spun O right O . O,Diaper Champ.txt,,[]
10,And O after O about O two O months O it O just O sat O there O in O the O corner O of O her O room O and O was O never O used O . O,Diaper Champ.txt,,[]
11,As O she O entered O into O toddlerhood O we O started O having O some O bad O diapers O just O becasue O of O her O cutting O teeth O and O diet O changes O . O,Diaper Champ.txt,,[]
12,We O decided O we O had O to O have O something O so O we O started O researching O . O,Diaper Champ.txt,,[]
13,The O Diaper B-aspect Champ I-aspect is O the O best O we O found O ! O,Diaper Champ.txt,Diaper Champ[+3],['Diaper Champ']
14,There O are O no O specail O bags B-aspect to O deal O with O or O buy O ! O,Diaper Champ.txt,bags[+2],['bags']
15,We O use O the O cheap O $ O 1.99 O 13 O gallon O vanilla O scented O bags O from O the O grocery O store O but O you O can O use O any O bag B-aspect you O have O laying O around O . O,Diaper Champ.txt,bag[+2],['bag']
16,There O is O also O no O trick O to O it O . O,Diaper Champ.txt,,[]
17,No O spinning O it O or O anyhting O ! O,Diaper Champ.txt,,[]
18,Just O flip O the O handle O and O the O diaper O is O gone O ! O,Diaper Champ.txt,,[]
19,Now O it O will O start O smelling B-aspect if O you O leave O it O with O diapers O in O it O for O an O extended O period O but O all O of O them O will O ! O,Diaper Champ.txt,smelling[-1],['smelling']
20,We O empty O ours O every O day O and O we O have O never O had O an O odors O from O it O ! O,Diaper Champ.txt,diaper[+2],['diaper']
21,It O is O far O better O than O just O a O trash O can O or O the O Diaper O Genie O and O it O 's O fairly O inexpensive O as O baby O products O go O ! O,Diaper Champ.txt,product[+3],['product']
22,"In O concept O , O it O 's O a O fabulous O idea O . O",Diaper Champ.txt,,[]
23,I O love O that O you O do O n't O have O to O purchase O expensive O refills B-aspect . O,Diaper Champ.txt,refills[+3],['refills']
24,I O just O go O to O [ O the O store O ] O and O purchase O tall O kitchen O bags O and O use O those O for O the O Diaper O Champ O . O,Diaper Champ.txt,,[]
25,"The O cons O , O at O times O the O diaper B-aspect wipes I-aspect get O stuck O in O the O disposal O area O making O it O hard O to O turn O the O handle O back O and O forth O . O",Diaper Champ.txt,diaper wipes[-2],['diaper wipes']
26,"In O addition O , O I O do O n't O believe O that O it O is O odorless O . O",Diaper Champ.txt,Diaper Champ[-2],['Diaper Champ']
27,My O daughter O is O only O 4 O months O old O and O we O do O notice O an O odor B-aspect . O,Diaper Champ.txt,odor[-2],['odor']
28,I O 'm O concerned O that O as O she O gets O older O the O # O 2 O diapers O will O only O get O worse O . O,Diaper Champ.txt,,[]
29,"If O I O had O to O do O it O over O again O , O even O with O the O cost O savings O of O using O any O type O of O bag O , O I O would O go O w/ O the O Diaper B-aspect Genie I-aspect . O",Diaper Champ.txt,Diaper Genie[+2][cs],['Diaper Genie']
30,It O 's O far O better O than O all O others O on O the O market O . O,Diaper Champ.txt,Diaper Champ[+3][p][cc],['Diaper Champ']
31,it O 's O easier O and O much O more O convenient B-aspect to O use O because O it O does O n't O have O CLUMSY O and O CONFUSING O not O to O mention O expensive O refills B-aspect . O,Diaper Champ.txt,"convenient[+2],refills[+2]","['convenient', 'refills']"
32,There O is O no O odor O and O extremely O easy O to O use B-aspect . O,Diaper Champ.txt,use[+3],['use']
33,Having O one O of O these O helps O from O needing O to O take O out O the O trash O daily O for O the O guys O ! O,Diaper Champ.txt,,[]
34,"My O daughter O is O now O 2 O and O 1/2 O , O and O I O am O still O enjoying O this O product O . O",Diaper Champ.txt,,[]
35,"We O purchased O it O based O on O the O reviews O , O and O it O really O lived O up O to O our O expectations O . O",Diaper Champ.txt,,[]
36,We O liked O it O because O : O,Diaper Champ.txt,,[]
37,1 O . O It O uses O regular O garbage B-aspect bags I-aspect instead O of O brand O refills O . O,Diaper Champ.txt,garbage bags[+2],['garbage bags']
38,2 O . O You O can O dump O regular O trash O into O it O and O not O feel O as O though O you O 've O wasted O plastic O . O,Diaper Champ.txt,,[]
39,3 O . O It O never O smelled O - O at O all O . O,Diaper Champ.txt,product[+3][p],['product']
40,"Here O 's O the O catch O for O us- O our O daughter O never O drank O formula O , O which O is O what O gives O baby O waste O a O foul O smell O , O and O when O she O was O eating O solids O we O followed O the O American O Pediatric O Association O recommendation O to O flush O solid O products O instead O of O disposing O of O them O . O",Diaper Champ.txt,,[]
41,I O do O n't O know O how O this O product O would O hold O up O to O either O of O these O situations O . O,Diaper Champ.txt,,[]
42,I O just O know O it O really O worked O for O us O . O,Diaper Champ.txt,,[]
43,"The O container B-aspect is O hard O to O open O , O which O is O exactly O what O you O want O when O your O baby O becomes O a O toddler O , O and O you O do O have O to O flip O the O handle O carefully O which O has O saved O more O than O a O few O of O her O toys O , O too O . O I O do O n't O consider O these O difficulties O but O features O for O the O older O baby O . O",Diaper Champ.txt,container[+2],['container']
44,"We O graduated O to O real O underwear O last O week O in O our O house O , O and O I O 'm O passing O this O on O instead O of O retiring O it- O it O 's O too O good O to O sit O unused O in O the O basement O or O dump O . O",Diaper Champ.txt,,[]
45,Even O with O newborn O diapers O it O filled O way O too O fast O . O,Diaper Champ.txt,size[-2][u],['size']
46,It O seemed O as O if O we O were O empting O the O pail O everyday O and O it O was O in O no O way O odorless O . O,Diaper Champ.txt,"size[-2],odor[-2][u]","['size', 'odor']"
47,Save O your O money O invest O in O plastic O bags O and O dispose O of O diapers O by O sealing O them O in O the O bags O and O placing O them O in O the O regular O garbage O . O,Diaper Champ.txt,,[]
48,A O MUST O HAVE O ! O,Diaper Champ.txt,,[]
49,This O is O a O MUST O HAVE O product B-aspect for O all O new O moms O ! O,Diaper Champ.txt,product[+3][u],['product']
50,The O one O thing O that O sets O this O product O apart O from O the O diaper O genie O is O that O this O product O can O use O regular O garbage O bags O . O,Diaper Champ.txt,,[]
51,ANY O Garbage O bags O will O fit O . O,Diaper Champ.txt,,[]
52,The O Diaper B-aspect Genie I-aspect needs O it O 's O own O refill O bags O in O order O to O work O and O that O 's O just O more O money O that O you O do O n't O have O to O spend O . O,Diaper Champ.txt,Diaper Genie[-2][cs],['Diaper Genie']
53,This O is O easy O to O work B-aspect and O easy O to O dispose O of O the O dirty O diapers O . O,Diaper Champ.txt,work[+3],['work']
54,FANTASTIC O ! O,Diaper Champ.txt,,[]
55,"I O find O the O major O problem O with O this O item B-aspect is O that O if O you O have O a O very O messy O diaper O and O ca O n't O tightly O bundle O it O without O a O mess O , O the O mess O gets O all O over O the O module O that O dumps O the O diaper O and O the O stink O is O OUTSIDE O of O the O diaper O pail O . O",Diaper Champ.txt,item[-2][u],['item']
56,My O main O complaints O are O that O it O should O be O deeper O or O wider O as O it O does O n't O even O fit B-aspect a O smaller O sized O garbage O bag O . O,Diaper Champ.txt,fit[-2],['fit']
57,The O hole B-aspect to O put O the O diaper O in O needs O to O be O larger O as O I O am O now O using O medium O diapers O I O have O a O 3 O month O old O and O they O 're O on O the O brink O of O being O too O large O to O fit O no O matter O how O compact O I O make O then O and O how O un-soiled O they O are O . O,Diaper Champ.txt,hole[-2],['hole']
