,text,dataset,aspect_str,aspects
0,I O purchased O this O router O at O a O woodworking O show O after O watching O the O CMT O people O using O it O to O demo O their O bits O and O was O impressed O how O it O performed B-aspect . O,Hitachi router.txt,performed[+2],['performed']
1,"Well O , O when O I O got O it O home O and O mounted O it O in O my O router O table O , O the O shortcomings O started O showing O up O . O",Hitachi router.txt,,[]
2,"The O adjustment B-aspect knob O seemed O ok O , O but O when O lowering O the O router O , O I O have O to O practically O pull O it O down O while O turning O the O knob O . O",Hitachi router.txt,adjustment[-1],['adjustment']
3,I O tried O it O with O the O springs O in O and O with O them O out O and O did O not O notice O any O difference O . O,Hitachi router.txt,,[]
4,The O collet B-aspect for O the O 1/4 O inch O bits O is O a O pain O to O get O in O and O even O harder O to O get O out O . O,Hitachi router.txt,collet[-1],['collet']
5,"Then O the O most O disappointing O was O trying O to O use B-aspect Viper O raised O panel O bits O that O just O barely O fit O , O and O I O mean O just O barely O . O",Hitachi router.txt,use[-2],['use']
6,I O never O could O get O the O panel O bit O to O fit O right O . O,Hitachi router.txt,,[]
7,I O did O my O homework O before O buying O my O larger O 3+hp O router O for O my O router O table O . O,Hitachi router.txt,,[]
8,"From O the O Internet O , O woodworking O books O , O local O stores O and O personal O opinions O the O Hitachi O M12V O 3-1/4 O HP O router O time O and O time O again O came O up O to O be O the O router O of O choice O or O best O for O its O price B-aspect . O",Hitachi router.txt,price[+2],['price']
9,"I O have O a O mid-size O plunge O router O already O , O the O DeWalt O 621-a O fantastic O router O , O read O the O MANY O reviews O and O needed O a O heavy O duty O machine O for O my O table O . O",Hitachi router.txt,,[]
10,"I O have O a O small O fixed O base O , O single O speed O router O that O I O use O freehand O . O",Hitachi router.txt,,[]
11,But O I O wanted O to O do O some O raised O panel O work O and O needed O more O power B-aspect and O variable O speed B-aspect to O run O the O large-diameter O bits O . O,Hitachi router.txt,"power[+1],speed[+1]","['power', 'speed']"
12,"At O first O , O I O kicked O myself O for O not O buying O one O in O the O first O place O instead O of O my O smaller O router O , O but O in O retrospect O I O think O this O is O the O best O compromise O . O",Hitachi router.txt,,[]
13,"The O Hitachi O has O plenty O of O power B-aspect , O runs B-aspect smooth O , O and O cuts B-aspect effortlessly O through O maple O with O Freud O bits O ! O",Hitachi router.txt,"power[+1],runs[+1],cuts[+1]","['power', 'runs', 'cuts']"
14,"However O , O it O is O much O bigger B-aspect , O bulkier O , O and O heavier B-aspect than O my O other O router O and O I O would O not O like O to O use B-aspect it O freehand O I O keep O it O mounted O in O a O table O . O",Hitachi router.txt,"bigger[-1][u][cc],heavier[-1][u][cc],use[-1]","['bigger', 'heavier', 'use']"
15,"Since O I O use O it O in O a O table O , O I O do O n't O use O the O plunge B-aspect feature O , O but O if O I O ever O need O it O I O 've O got O it O . O",Hitachi router.txt,plunge[+1],['plunge']
16,"The O Hitachi O is O a O great O router O for O a O great O price B-aspect , O but O only O get O it O if O you O need O the O maximum O power B-aspect , O variable O speed B-aspect and O use B-aspect it O in O a O table O . O",Hitachi router.txt,"price[+2],power[+1],speed[+1],use[-1]","['price', 'power', 'speed', 'use']"
17,"Otherwise O , O get O a O smaller O single O speed O router O , O which O will O be O much O easier O to O use B-aspect freehand O and O is O all O you O need O for O smaller O diameter O bits O . O",Hitachi router.txt,use[-1][s],['use']
18,I O looked O at O this O router O and O bought O a O Makita O . O,Hitachi router.txt,,[]
19,"The O Hitachi O is O made O in O Malasyia O , O and O looked B-aspect cheap O compared O with O the O Makita O , O which O is O made O in O the O USA O . O",Hitachi router.txt,looked[+1][u][cc],['looked']
20,"I O have O hade O such O poor O luck O with O other O tools O a O Bosch O drill O made O in O Malasyia O , O that O I O could O not O see O getting O it O . O",Hitachi router.txt,,[]
21,"If O you O think O you O are O saving O $ O 40 O getting O the O Hitachi O , O you O are O right O , O and O you O are O also O getting O a O router O worth B-aspect $ O 40 O less O than O a O Makita O . O",Hitachi router.txt,worth[-1][cc][s],['worth']
22,It O ai O n't O cutting O edge O no O pun O intended O state O of O the O art O with O all O the O latest O bells O & O whistles O & O it O definitely O ai O n't O pretty B-aspect . O,Hitachi router.txt,pretty[-1][u],['pretty']
23,"But O it O is O smooth B-aspect , O it O is O powerful B-aspect , O it O is O affordable B-aspect & O it O has O a O proven O track B-aspect record I-aspect . O",Hitachi router.txt,"smooth[+1][u],powerful[+1][u],affordable[+1][u],track record[+1]","['smooth', 'powerful', 'affordable', 'track record']"
24,I O built O my O own O router O table O with O a O tilt O up O top O & O made O a O hand O crank O to O replace O the O height O adjustment B-aspect knob O & O these O two O things O make O it O easy O to O change O out O & O raise O or O lower O the O bits O . O,Hitachi router.txt,adjustment[-1][s],['adjustment']
25,Also O stuck O a O couple O of O o-rings O in O the O collet O like O a O previous O reviewer O suggested O & O have O never O had O a O stuck O bit O . O,Hitachi router.txt,,[]
26,"Have O to O clean O , O buff O & O lube O the O plunge O rods O once O in O a O while O but O I O see O that O as O a O non O issue O because O any O router O should O be O periodically O cleaned O anyway O . O",Hitachi router.txt,,[]
27,So O for O the O money O it O costs B-aspect for O one O of O those O top-of-the-line O models O I O 've O got O a O good O router B-aspect & O a O nice O table O to O put O it O in O & O I O like O that O . O,Hitachi router.txt,"costs[+1][u],router[+1]","['costs', 'router']"
28,Happy O woodworking O ! O ! O,Hitachi router.txt,,[]
29,Hitachi O 's O M12V O is O a O big O beast O of O a O router B-aspect . O,Hitachi router.txt,router[+2],['router']
30,"It O 's O not O the O heaviest O around O I O think O Porter-Cable O has O that O distinction O , O but O I O found O its O combination O of O weight B-aspect and O power B-aspect really O too O much O to O allow O precise B-aspect handheld O operation O . O",Hitachi router.txt,"weight[-1][u][cc],power[-1],precise[-1]","['weight', 'power', 'precise']"
31,"Luckily O , O the O only O significant O handheld O use O I O had O to O put O it O to O was O to O plunge O cut O the O melamine O board O that O I O dropped O my O Woodpeckers O PlungeLIFT O table O insert O into O . O",Hitachi router.txt,,[]
32,"Hitachi O includes O a O 1/2 O '' O straight O cutting O bit O in O the O package O , O and O I O used O this O to O cut O out O my O table O . O",Hitachi router.txt,,[]
33,I O bobbled O a O bit O at O the O end O of O a O couple O of O the O cuts O because O the O momentum O of O the O charging O M12V O was O a O bit O more O than O I O was O prepared O for O . O,Hitachi router.txt,,[]
34,"And O changing O bits O requires O one O hand O on O the O wrench O , O one O hand O on O the O spindle O lock O , O and O two O knees O to O hold O the O router O -- O another O reason O why O the O M12V O is O best O used O in O a O table O . O",Hitachi router.txt,,[]
35,In O my O table O the O M12V B-aspect has O been O a O real O champ O . O,Hitachi router.txt,M12V[+2][u],['M12V']
36,"I O 've O cut O dadoes O , O flush O trim O to O duplicate O a O complex O form O , O and O done O roundovers O and O Roman O ogees O . O",Hitachi router.txt,,[]
37,The O heavy B-aspect motor O and O continuously O variable O speed B-aspect control O let O this O router O churn O through O everything O I O threw O at O it O . O,Hitachi router.txt,"heavy[+1][u],speed[+1]","['heavy', 'speed']"
38,"With O the O PlungeLIFT O all O my O bit O changing O has O been O done O above O the O table O , O although O I O still O have O to O reach O below O the O table O to O operate O the O spindle O lock O and O , O of O course O , O the O speed O and O ON/OFF O controls B-aspect . O",Hitachi router.txt,controls[-1],['controls']
39,"Accessories O included O in O the O package O are O : O - O 1/2 O '' O shank O , O 1/2 O '' O diameter O , O 1 O '' O cutting O length O , O 2 O carbide O flute O straight O bit O - O parallel O guide O - O template O guide O - O template O adapter O for O 3rd-party O guides O - O 1/4 O '' O chuck O sleeve O - O cutting O depth O fine O adjustment O knob O which O takes O a O `` O 13 O mm O '' O wrench O to O install O , O but O a O crescent O wrench O works O OK O too O",Hitachi router.txt,,[]
40,Not O included O are O : O - O 3/8 O '' O chuck O sleeve O the O least O common O bit O size O - O depth O scale O in O mm O the O included O one O is O in O inches O - O dust O collector O set O - O trimmer O guide O for O chamfering O,Hitachi router.txt,,[]
41,The O M12V O is O really O set O up O for O right O hand O operation O . O,Hitachi router.txt,,[]
42,"Lefties O can O switch O the O angle O of O the O handles O by O loosening O the O screws O , O repositioning O , O then O retightening O . O",Hitachi router.txt,,[]
43,"This O will O allow O operation O of O the O power O switch O with O the O left O index O finger O and O the O plunge O lock O with O the O left O thumb O instead O of O the O standard O right O thumb O and O right O index O finger O , O respectively O , O but O then O the O depth O scale O is O on O the O back O face O of O the O router O , O as O is O the O straight O edge O of O the O base O plate O . O",Hitachi router.txt,,[]
