,text,dataset,aspect_str,aspects
0,"This O router B-aspect does O everything O that O it O is O supposed O to O do O , O so O i O dont O really O know O how O to O talk O that O bad O about O it O . O",Linksys Router.txt,router[+2],['router']
1,"It O was O a O very O quick O setup B-aspect and O installation B-aspect , O in O fact O the O disc O that O it O comes O with O pretty O much O makes O sure O you O cant O mess O it O up O . O",Linksys Router.txt,"setup[+2], installation[+2] ","['setup', 'installation']"
2,"By O no O means O do O you O have O to O be O a O tech O junkie O to O be O able O to O install B-aspect it O , O just O be O able O to O put O a O CD O in O the O computer O and O it O tells O you O what O to O do O . O",Linksys Router.txt,install[+3],['install']
3,"It O works B-aspect great O , O i O am O usually O at O the O full O 54 O mbps O , O although O every O now O and O then O that O drops O to O around O 36 O mbps O only O because O i O am O 2 O floors O below O where O the O router O is O . O",Linksys Router.txt,works[+3] ,['works']
4,"That O only O happens O every O so O often O , O but O its O not O that O big O of O a O drawback O really O , O just O a O little O slower O than O usual O . O",Linksys Router.txt,,[]
5,It O really O is O a O great O buy O if O you O are O lookin O at O having O just O one O modem O but O many O computers O around O the O house O . O,Linksys Router.txt,router[+2][p] ,['router']
6,"There O are O 3 O computers O in O my O house O all O getting O wireless O connection O from O this O router B-aspect , O and O everybody O is O happy O with O it O . O",Linksys Router.txt,router[+2] ,['router']
7,I O do O not O really O know O why O some O people O are O tearing O this O router O ! O,Linksys Router.txt,,[]
8,"apart O on O their O reviews O , O they O are O talking O about O installation O problems O and O what O not O . O",Linksys Router.txt,,[]
9,"Its O the O easiest O thing O to O setup B-aspect i O thought O , O and O i O am O only O 16 O ... O So O with O all O that O said O , O BUY O THE O ROUTER B-aspect ! O ! O ! O ! O",Linksys Router.txt,"setup[+2], ROUTER[+][s] ","['setup', 'ROUTER']"
10,"It O 's O probably O a O fine O router B-aspect , O but O I O found O the O install B-aspect wizard O to O be O of O poor O quality O . O",Linksys Router.txt,"install[-2], router[+1] ","['install', 'router']"
11,"If O you O have O good O networking O knowledge O , O you O 'll O abandon O the O wizard O , O use O the O 100-page O online O manual O , O and O be O fine O . O",Linksys Router.txt,,[]
12,"I O know O more O about O networking O than O 70 O % O of O the O consumers O out O there O , O so O I O was O able O to O puzzle O my O way O through O it O , O but O only O by O second O guessing O the O documentation O at O various O stages O . O",Linksys Router.txt,,[]
13,The O Wizard B-aspect is O particularly O sinister O . O,Linksys Router.txt,Wizard[-2][u] ,['Wizard']
14,"It O just O tells O you O to O start O disconnecting O and O attaching O cables O without O any O input O as O to O whether O your O current O setup O includes O a O pre-existing O router O mine O does O , O without O any O clarity O as O to O whether O you O should O be O running O the O wizard B-aspect on O a O hard-wired O PC O or O a O wireless O equipped O PC O . O",Linksys Router.txt,wizard[-2],['wizard']
15,After O asking O for O a O password O Is O it O asking O me O to O set O a O password O or O am O I O supposed O to O know O from O page O 20 O of O the O manual O that O the O factory O set O password O is O `` O admin O '' O ? O it O refused O to O go O past O step O 8 O . O,Linksys Router.txt,,[]
16,These O are O just O some O of O the O pathetic O examples O . O,Linksys Router.txt,,[]
17,provide O no O printed O manual O . O,Linksys Router.txt,,[]
18,I O had O downloaded O the O 112 O page O manual O from O the O Linksys O Website O . O,Linksys Router.txt,,[]
19,Stupid O me O . O,Linksys Router.txt,,[]
20,It O turns O out O to O be O copyright O 2002 O and O much O inferior O to O the O 2005 O manual O included O on O the O CD O . O,Linksys Router.txt,,[]
21,But O can O you O decide O to O access O the O CD O manual O once O you O have O started O the O Wizard O ? O,Linksys Router.txt,,[]
22,"No O , O of O course O not O . O",Linksys Router.txt,,[]
23,You O have O to O completely O exit O the O Wizard O and O re-start O the O CD O in O order O to O find O the O `` O User O Guide O '' O tab O which O loads O the O manual O . O,Linksys Router.txt,,[]
24,The O box O proudly O displays O `` O SecureEasysetup B-aspect TM O '' O `` O Wireless O Made O Simple O '' O `` O One O Touch O setup B-aspect Button O '' O `` O Easy O Start O '' O `` O Easy O Security O '' O `` O Easy O Everyday O '' O Apparently O Linksys/Cisco O knows O that O ease O of O setup B-aspect is O crucial O . O,Linksys Router.txt,setup[-2] ,['setup']
25,It O just O does O n't O follow O through O in O any O consumer-tested O way O . O,Linksys Router.txt,,[]
26,"I O do O n't O know O if O Netgear O , O D-Link O , O etc O are O any O better O . O",Linksys Router.txt,,[]
27,"If O you O 're O buying O this O product O and O operate O on O a O Mac O platform O , O ditch O the O CD O and O go O directly O to O live O assistance O on O the O Linksys O website O . O",Linksys Router.txt,,[]
28,I O recently O bought O the O Linksys O WRT54G O router B-aspect and O have O been O very O happy O with O the O router B-aspect itself O . O,Linksys Router.txt,router[+2] ,['router']
29,"I O run O on O Mac O OSX O , O and O though O I O considered O getting O the O whole O Apple O airport O setup O , O the O cost O difference O between O the O Airport O and O the O latest O model O Linksys O pretty O much O left O no O comparison O . O",Linksys Router.txt,,[]
30,The O Airport O was O more O than O twice O the O Linksys O router O . O,Linksys Router.txt,,[]
31,"HOWEVER O , O configuration B-aspect of O my O system O and O actual O setup O of O the O router O for O wireless O use O took O me O more O than O 3 O hours O , O and O briefly O made O me O reconsider O my O choice O to O forego O the O airport O and O its O notoriously O easy O setup O . O",Linksys Router.txt,configuration[-2][cc] ,['configuration']
32,"I O am O a O generally O computer-savvy O person O ; O not O an O IT O expert O by O any O means O which O is O what O router O configuration O sometimes O seems O to O require O , O but O I O can O install O and O manage O most O computer O stuff O without O too O much O support O . O",Linksys Router.txt,,[]
33,en O I O opened O the O box O I O found O little O more O than O a O few O advertisement O flyers O and O instructions O to O run O the O enclosed O CD O before O plugging O in O the O router O . O,Linksys Router.txt,,[]
34,Too O bad O they O do O n't O mention O anything O about O how O the O CD B-aspect ca O n't O be O used O with O a O Mac O . O,Linksys Router.txt,CD[-1] ,['CD']
35,Did O n't O find O that O out O until O I O talked O to O someone O in O technical O support O an O hour O later O . O,Linksys Router.txt,,[]
36,"After O messing O about O a O bit O with O the O CD O , O I O went O online O to O the O Linksys O site O to O look O for O support O tips O . O",Linksys Router.txt,,[]
37,I O even O downloaded O the O product O 's O user B-aspect manual I-aspect - O useless O . O,Linksys Router.txt,user manual[-2] ,['user manual']
38,The O Linksys O technical B-aspect support I-aspect site O has O nothing O about O configuring O the O router O for O use O with O a O Mac O . O,Linksys Router.txt,technical support[-2] ,['technical support']
39,It O 's O like O they O want O to O pretend O that O Apple O does O n't O exist O or O something O . O,Linksys Router.txt,,[]
40,"But O eventually O I O found O my O way O to O live O assistance O through O their O site O thank O GOODNESS O , O where O someone O was O able O to O give O me O adequate O instructions O to O configure O the O router O so O that O I O could O at O least O use O it O . O",Linksys Router.txt,,[]
41,"I O say O adequate O because O it O was O enough O to O get O wireless O working O , O but O nowhere O near O enough O instruction B-aspect to O do O the O proper O configuration O job O that O I O could O have O done O if O so O ! O",Linksys Router.txt,instruction[-2] ,['instruction']
42,meone O would O just O give O me O some O instructions O in O plain O English O . O,Linksys Router.txt,,[]
43,"The O router O comes O with O a O TON O of O options O for O setup O , O but O sadly O enough O , O I O had O no O idea O what O most O of O it O meant O . O",Linksys Router.txt,,[]
44,What O this O product O really O needs O is O better O documentation B-aspect for O how O to O set O up O the O router O for O DIFFERENT O OPERATING O SYSTEMS O ! O,Linksys Router.txt,documentation[-2] ,['documentation']
45,! O and O step O by O step O explanations O for O all O the O different O setup O options O and O their O relevance O . O,Linksys Router.txt,,[]
46,"I O do O n't O mind O if O the O instructions O are O online O instead O of O in O the O box O , O but O please O have O some O instructions O *somewhere O . O",Linksys Router.txt,,[]
47,But O the O product B-aspect iself O is O great O . O,Linksys Router.txt,product[+3][p] ,['product']
48,"If O you O have O a O Mac O , O I O do O n't O think O you O should O totally O discount O this O product O . O",Linksys Router.txt,,[]
