,text,dataset,aspect_str,aspects
0,this O camera B-aspect is O perfect O for O an O enthusiastic O amateur O photographer O . O,Nikon coolpix 4300.txt,camera[+2],['camera']
1,"the O pictures O are O razor-sharp O , O even O in O macro B-aspect . O",Nikon coolpix 4300.txt,"picture[+3], macro[+3]","['picture', 'macro']"
2,it O is O small O enough O to O fit O easily O in O a O coat O pocket O or O purse O . O,Nikon coolpix 4300.txt,size[+2][u],['size']
3,it O is O light O enough O to O carry O around O all O day O without O bother O . O,Nikon coolpix 4300.txt,weight[+1][u],['weight']
4,"operating O its O many O features O is O easy O and O often O obvious O - O i O 'm O no O annie O lebovitz O , O but O i O was O able O to O figure O out O most O of O its O abilities O just O messing O around O with O it O at O a O camera O store O . O",Nikon coolpix 4300.txt,feature[+2][u],['feature']
5,the O manual B-aspect does O a O fine O job O filling O in O any O blanks O that O remain O . O,Nikon coolpix 4300.txt,manual[+2],['manual']
6,"the O auto-focus O performs O well O , O but O i O love O having O the O 12 O optional O scene O modes O - O they O are O dummy-proof O , O and O correspond O to O many O situations O in O which O i O would O actually O seek O to O use O the O camera O . O",Nikon coolpix 4300.txt,"auto focus[+2],scene mode[+2]","['auto focus', 'scene mode']"
7,"comes O with O a O 16 O mb O compact O flash O and O one O rechargable B-aspect battery I-aspect the O charging O unit O , O included O , O is O fast O and O small O . O",Nikon coolpix 4300.txt,rechargable battery[+2],['rechargable battery']
8,"i O bought O a O 256 O mb O cf O and O a O second O battery O , O so O it O 's O good O to O go O on O a O long O vacation O . O",Nikon coolpix 4300.txt,,[]
9,i O enthusiastically O recommend O this O camera B-aspect . O,Nikon coolpix 4300.txt,camera[+2],['camera']
10,"i O got O my O camera O three O days O back O , O and O although O i O had O some O experience O with O digital O cameras O prior O to O purchasing O this O one O , O i O still O rate O myself O as O a O beginner O . O",Nikon coolpix 4300.txt,,[]
11,i O bought O this O camera O because O it O fit O my O budget O and O the O pre-production O and O production O model O reviews O were O positive O . O,Nikon coolpix 4300.txt,,[]
12,"it O 's O easy O to O use B-aspect , O and O yet O very O feature B-aspect rich O . O",Nikon coolpix 4300.txt,"camera[+2][p], use[+1][u], feature[+2]","['camera', 'use', 'feature']"
13,"in O the O auto B-aspect mode I-aspect it O functions O basically O as O a O point O and O click O , O the O scene O modes O are O very O easy O to O use O and O produce O good O results O . O",Nikon coolpix 4300.txt,"auto mode[+1],scene mode[+2]","['auto mode', 'scene mode']"
14,the O manual B-aspect mode I-aspect is O feature O rich O and O i O can O 't O wait O to O get O the O hang O of O it O . O,Nikon coolpix 4300.txt,manual mode[+2],['manual mode']
15,"the O macro B-aspect mode I-aspect is O exceptional O , O the O pictures O are O very O clear O and O you O can O take O the O pictures O with O the O lens O unbelievably O close O the O subject O . O",Nikon coolpix 4300.txt,"macro mode[+3],picture[+3]","['macro mode', 'picture']"
16,"the O battery B-aspect life I-aspect is O very O good O , O i O got O about O 90 O minutes O with O the O lcd O turned O on O all O the O time O , O the O first O time O around O , O and O i O have O been O using O it O with O the O lcd O off O every O now O and O then O , O and O have O yet O needed O to O recharge O it O . O",Nikon coolpix 4300.txt,battery life[+3],['battery life']
17,"the O camera O comes O with O a O lexar O 16mb O starter O card O , O which O stores O about O 10 O images O in O fine O mode O at O the O highest O resolution O , O i O intend O to O buy O a O bigger O card O soon O . O",Nikon coolpix 4300.txt,,[]
18,i O love O photography O . O,Nikon coolpix 4300.txt,,[]
19,i O had O an O older O camera O that O was O simply O a O point O and O shoot O camera O . O,Nikon coolpix 4300.txt,,[]
20,"i O needed O something O with O more O power O , O so O i O bought O a O nikon O coolpix O 4300 O . O",Nikon coolpix 4300.txt,,[]
21,"i O fell O in O love O with O this O camera B-aspect , O it O combines O ease O of O use B-aspect , O with O an O immense O amount O of O options O and O power O . O",Nikon coolpix 4300.txt,"camera[+3], use[+1]","['camera', 'use']"
