,text,dataset,aspect_str,aspects
0,"Affordable O price B-aspect , O reliable O item B-aspect and O excellent O customer B-aspect service I-aspect . O",Router.txt,"price[+1], item[+1], customer service[+1] ","['price', 'item', 'customer service']"
1,I O did O have O problem O connecting O my O laptop O to O the O internet O but O there O customer B-aspect service I-aspect representative O was O very O helpful O and O patient O in O walking O me O through O all O the O steps O . O,Router.txt,customer service[+1] ,['customer service']
2,I O have O no O regrets O and O thankful O to O find O this O product O in O amazon O . O,Router.txt,,[]
3,After O much O homework O and O too O much O frustration O with O our O cable O provided O wireless O routers O -LRB- O 4 O replacements O in O 8 O months O -RRB- O we O decided O on O the O Netgear O N900 O ! O,Router.txt,,[]
4,I O am O above O average O with O technical O knowledge O but O it O is O easy O enough O for O the O beginner O to O set B-aspect up I-aspect . O,Router.txt,set up[+1][v] ,['set up']
5,I O had O no O problems O . O,Router.txt,,[]
6,Our O connection B-aspect and O speed B-aspect immediately O soared O once O it O was O online O and O our O network O was O set O up O . O,Router.txt,"speed[+1], connection[+1] ","['speed', 'connection']"
7,The O only O problem O I O encountered O why O I O gave O it O only O 4 O stars O is O when O I O plugged O in O a O usb O storage O device O . O,Router.txt,,[]
8,The O device O is O not O recognizable O on O any O of O the O computers O even O after O installing O the O Netgear O genie O . O,Router.txt,,[]
9,The O only O way O I O 'm O able O to O access O this O usb O drive O is O by O going O through O the O netgear O genie O through O the O ISP O of O the O storage O device O . O,Router.txt,,[]
10,"I O was O happy O when O I O saw O all O my O files O and O I O was O able O to O access O them O BUT O when O I O tried O to O attach O a O document O or O file O to O an O email O , O again O I O found O you O ca O n't O do O this O ! O",Router.txt,,[]
11,So O the O solution O I O had O to O do O was O to O make O a O copy O of O the O image O and O documents O onto O my O local O computer O in O order O to O then O upload O . O,Router.txt,,[]
12,If O they O FIX O this O issue O -LRB- O which O I O 've O seen O in O their O support O as O the O major O complaint O -RRB- O I O would O give O this O a O 5-star O rating O . O,Router.txt,,[]
13,"PLEASE O A O firmware B-aspect upgrade I-aspect that O enables O all O the O usb O drives O attached O to O this O wireless O router O to O be O seen O in O the O actual O networked O local O computer O desktop O portals O AND O be O able O to O drag O and O drop O , O upload O , O attach O , O etc O . O . O",Router.txt,firmware upgrade[+1] ,['firmware upgrade']
14,WITHOUT O having O to O go O through O the O netgear B-aspect genie I-aspect tool I-aspect through O the O ISP O and O taking O all O the O extra O steps O would O be O far O better O . O,Router.txt,netgear genie tool[-1] ,['netgear genie tool']
15,The O packaging O and O instructions O give O the O indication O of O plug-n-play O usb O ports O where O you O can O use O any O storage O device O and O have O it O immediately O appear O in O your O network O as O if O it O was O attached O to O your O local O computers O ... O this O is O a O fallacy O as O it O does O not O actually O work O that O way O . O,Router.txt,,[]
16,"After O my O DLINK O DI614 O + O router O died O after O 5 O years O , O I O bought O my O new O router O for O a O couple O bucks O less O at O Costco O . O",Router.txt,,[]
17,Costco O package O offered O a O 24\/7 O customer O support O number O . O,Router.txt,,[]
18,Since O my O router O and O internet O connection O were O down O I O could O n't O use O installation O wizard O . O,Router.txt,,[]
19,I O was O pleasantly O surprised O that O customer B-aspect service I-aspect was O able O to O step O me O thru O manual O setup O . O,Router.txt,customer service[+1] ,['customer service']
20,"Have O n't O setup O any O advanced O features O , O but O the O signal B-aspect strength I-aspect and O speed B-aspect are O roughly O twice O what O I O had O with O old O router O . O",Router.txt,"signal strength[+1], speed[+1] ","['signal strength', 'speed']"
21,So O far O so O good O . O,Router.txt,,[]
22,If O I O get O a O chance O to O setup O and O confirm O advanced O features O I O 'll O come O back O to O update O review\/rating O . O,Router.txt,,[]
23,"It O works O , O good O customer B-aspect service I-aspect -LRB- O so O far O -RRB- O = O 4 O stars O . O",Router.txt,customer service[+1] ,['customer service']
24,I O just O got O this O Netgear O to O replace O an O Pre-N O Belkin O . O,Router.txt,,[]
25,I O must O be O getting O interference O from O other O people O in O the O building O so O my O connection O sometimes O would O hang O . O,Router.txt,,[]
26,"Video O would O pixle O , O so O did O n't O watch O that O often O . O",Router.txt,,[]
27,I O had O the O USB O adapter O for O one O computer O and O the O express O card O for O the O laptop O . O,Router.txt,,[]
28,The O laptop O had O the O better O reception O . O,Router.txt,,[]
29,"Sometimes O the O system O would O hang B-aspect , O so O I O would O have O to O restart O the O router B-aspect , O then O get O going O again O . O",Router.txt,"router[-1], hang[-1][v] ","['router', 'hang']"
30,"Started O looking O for O a O new O router O , O saw O this O one O and O thought O I O 'd O give O it O a O try O from O the O reviews O . O",Router.txt,,[]
31,I O 'm O glad O I O did O . O,Router.txt,,[]
32,"I O did O n't O have O to O call O customer O care O , O I O followed O the O wizard O , O and O it O was O fairly O easy O . O",Router.txt,,[]
33,"Naming O the O bandwidth O was O a O new O one O for O me O , O I O named O it O the O same O as O my O password O . O",Router.txt,,[]
34,"Oops O , O easy O to O go B-aspect online I-aspect , O and O adjust B-aspect it O there O . O",Router.txt,"go online[+1][v], adjust[+1][v] ","['go online', 'adjust']"
35,plan O to O read O through O the O manual O to O understand O more O of O what O it O can O do O . O,Router.txt,,[]
36,From O the O Belkin O my O reception B-aspect increased O over O 25 O % O . O,Router.txt,reception[+1] ,['reception']
37,"It O is O tall B-aspect , O so O I O ended O up O laying O it O on O its O side O . O",Router.txt,tall[-1][a] ,['tall']
38,Connection B-aspect to O the O device O is O so O easy O . O,Router.txt,Connection[+1] ,['Connection']
39,"I O just O went O to O my O Laptop O , O it O saw O the O router O , O I O clicked O on O the O name O , O then O you O go O over O to O the O router O and O push O the O button O near O the O bottom O , O your O connected O . O",Router.txt,,[]
40,Very O Pleased O at O this O time O . O,Router.txt,,[]
41,The O D-Link B-aspect DIR-655 I-aspect Extreme I-aspect N I-aspect Wireless I-aspect Router I-aspect works O fine O as O a O 802.11 O n O wireless O router O . O,Router.txt,D-Link DIR-655 Extreme N Wireless Router[+1] ,['D-Link DIR-655 Extreme N Wireless Router']
42,"However O , O the O reason O I O bought O it O was O to O wirelessly O share O my O printer O between O two O Macs O using O the O USB O Shareport O on O the O router O . O",Router.txt,,[]
43,Shareport B-aspect is O not O compatible O with O Mac O OS O . O,Router.txt,Shareport[-1] ,['Shareport']
