,text,dataset,aspect_str,aspects
0,Do O n't O get O this O ... O keep O browsing O . O,ipod.txt,,[]
1,The O iPod O has O so O far O been O one O of O the O most O advertised O and O populated O MP3 O players O so O far O . O,ipod.txt,,[]
2,I O 'm O still O figuring O out O why O . O,ipod.txt,,[]
3,"There O is O n't O much O features B-aspect on O the O iPod O at O all O , O except O games O . O",ipod.txt,features[-2],['features']
4,"My O friend O has O this O unit O while O not O experience O it O much O , O I O look O at O other O reviews O on O this O site O and O tried O out O the O unit O at O Best O Buy O , O and O it O 's O definitely O the O most O overrated O gadget O in O history O . O",ipod.txt,,[]
5,sound B-aspect QUALITY O : O The O iPod O 's O sound B-aspect quality O is O pretty O good O . O,ipod.txt,sound[+2],['sound']
6,"The O Creative O player O sounds O a O bit O better O , O but O not O anything O to O worry O about O . O",ipod.txt,,[]
7,"It O has O an O equalizer B-aspect , O but O the O iRiver O H10-20GB O has O a O lot O more O presets O than O the O iPod O . O",ipod.txt,equalizer[-1],['equalizer']
8,The O bass B-aspect is O deep O and O the O treble B-aspect is O clear O . O,ipod.txt,"bass[+3],treble[+2]","['bass', 'treble']"
9,"DURABILITY O : O Not O good O . O First O problem O , O if O you O have O n't O seen O the O news O recently O , O the O iPods O are O being O recalled O for O battery B-aspect problems O and O not O lasting O the O advertised O 18 O months O . O",ipod.txt,battery[-2],['battery']
10,"This O is O really O stupid O to O me O . O 18 O months O for O a O battery O is O n't O good O , O actually O , O it O 's O medicore O . O",ipod.txt,,[]
11,iRiver O 's O battery O lasts O four O to O five O years O . O,ipod.txt,,[]
12,"Also O , O the O battery O 's O ARE O N'T O USER O REPLACEABLE O . O",ipod.txt,Replaceable battery[-3],['Replaceable battery']
13,"However O , O the O Creative O and O iRiver O players O are O Rio O 's O is O n't O , O and O they O only O cost O around O $ O 30 O to O replace O , O while O iPod O charges O shipping O and O technical O support O . O",ipod.txt,,[]
14,"The O iPod O 's O battery O , O 1.5 O years O . O",ipod.txt,,[]
15,"Yeah O , O pretty O weak O . O",ipod.txt,,[]
16,"Another O thing O you O should O know O , O the O metal O on O the O flip B-aspect side I-aspect of O the O iPod O is O very O tacky O , O and O scratches O very O easily O . O",ipod.txt,flip side[-2],['flip side']
17,"While O all O MP3 O players O are O easy O to O scratch O , O the O iPod O is O the O worst O of O the O Creative O and O iRiver O . O",ipod.txt,,[]
18,"Also O , O not O liking O the O gel O case B-aspect . O",ipod.txt,case[-2],['case']
19,iRiver O 's O seems O a O lot O more O sturdier O than O the O iPod O 's O . O,ipod.txt,,[]
20,"features B-aspect : O Really O , O there O are O n't O any O features B-aspect , O unless O you O call O the O games O a O feature O . O",ipod.txt,features[-3],['features']
21,"There O is O no O FM B-aspect tuner I-aspect , O while O there O is O no O FM B-aspect tuner I-aspect on O the O Creative O Zen O on O the O micro O version O of O the O Zen O there O is O a O tuner O , O the O iRiver O H10-20GB O , O the O Rio O Karma O , O and O the O iAudio O X5 O have O FM O tuners O . O",ipod.txt,FM tuner[-3],['FM tuner']
22,"There O is O also O no O voice B-aspect recording I-aspect , O something O most O if O not O all O MP3 O players O have O that O the O iPod O does O n't O . O",ipod.txt,voice recording[-3],['voice recording']
23,"There O is O no O photo B-aspect viewing I-aspect option O , O however O , O there O is O a O 20 O GB O photo O iPod O , O but O it O costs O $ O 20 O more O . O",ipod.txt,photo viewing[-1],['photo viewing']
24,"There O is O an O alarm O and O timer O , O but O most O MP3 O players O have O this O feature O . O",ipod.txt,,[]
25,"EASE O OF O USE/DESIGN O : O The O iPod O is O a O very O easy O to O use B-aspect MP3 O player O , O and O if O you O ca O n't O figure O this O out O , O you O should O n't O even O own O one O . O",ipod.txt,use[+3],['use']
26,"The O Click O Wheel O is O a O great O design O , O something O no O one O else O came O up O with O however O , O the O iRiver O has O a O touchpad O . O",ipod.txt,,[]
27,I O 'm O probably O the O only O person O that O dislikes O the O iTunes B-aspect software O . O,ipod.txt,iTunes[-1],['iTunes']
28,"I O just O do O n't O like O it O , O the O weird O thing O is O , O I O do O n't O know O why O I O dislike O it O . O",ipod.txt,,[]
29,"Maybe O because O it O does O n't O have O a O lot O of O skins O to O choose O from O like O WMP O , O but O then O again O , O I O dislike O WMP O as O well O because O it O 's O slow O on O my O computer O . O",ipod.txt,,[]
30,"Anyhow O , O adding O music O to O the O player O is O easy O . O",ipod.txt,,[]
31,"BATTERY O LIFE O : O Pretty O medicore O at O 12 O hours O , O the O Creative O , O iAudio O , O Rio O , O and O iRiver O players O last O longer O . O",ipod.txt,,[]
32,"CUSTOMER B-aspect SERVICE I-aspect : O Awful O . O Listen O to O this O one O , O remember O the O battery O statement O I O made O earlier O . O",ipod.txt,CUSTOMER SERVICE[-3],['CUSTOMER SERVICE']
33,"If O your O battery O dies O and O it O 's O still O under O warranty O , O guess O what O , O you O 're O out O of O luck O , O because O Apple O does O n't O cover O the O battery O in O the O iPod O warranty O . O",ipod.txt,,[]
34,They O have O the O nerve O to O charge O you O $ O 30 O for O a O warrantied O iPod O . O,ipod.txt,,[]
35,There O technical B-aspect service I-aspect is O n't O helpful O either O ; O they O just O read O what O 's O on O their O website O and O charge O you O $ O 50 O + O toll O fees O to O do O it O . O,ipod.txt,technical service[-3],['technical service']
36,At O least O Creative O and O iRiver O 's O only O charge O toll O fees O like O most O companies O . O,ipod.txt,,[]
37,"OVERALL O : O I O highly O dislike O the O iPod B-aspect , O even O though O the O sound B-aspect quality I-aspect and O design B-aspect is O above-average O . O",ipod.txt,"iPod[-3], sound quality[+2], design[+2]","['iPod', 'sound quality', 'design']"
38,"Maybe O in O their O 5th O generation O they O 'll O add O features O to O the O iPod O . O But O for O now O , O pleases O do O n't O buy O this O , O and O buy O a O Creative O Zen O or O the O iRiver O H10-20GB O instead O . O",ipod.txt,,[]
39,"God O Save O Apple O I O have O been O an O Apple O person O since O 1984 O , O when O I O got O my O first O Mac O . O",ipod.txt,,[]
40,"Since O then O , O I O have O been O a O devotee O of O the O elegant O styling O and O functionality O of O all O things O Apple O . O",ipod.txt,,[]
41,The O Ipod B-aspect is O a O fine O cousin O to O the O early O macs O and O current O offerings O from O Jobs O and O Company O . O,ipod.txt,Ipod[+2],['Ipod']
42,"Long O live O Apple B-aspect , O long O live O Macs O , O and O long O live O the O Ipod O ! O",ipod.txt,Apple[+2],['Apple']
43,I O have O an O ipod B-aspect and O it O is O a O great O buy O . O,ipod.txt,ipod[+2],['ipod']
44,It O holds O a O ton O of O songs O and O looks O cool O in O the O palm O of O your O hand O . O,ipod.txt,,[]
45,Very O sturdy B-aspect and O strong O . O,ipod.txt,sturdy[+2],['sturdy']
46,Does O n't O have O alot O of O good O games B-aspect on O it O . O,ipod.txt,games[-1],['games']
47,"the O 20 O gig O because O that O holds O 10,000 O songs O right O there O and O that O 's O alot O of O songs O . O",ipod.txt,,[]
48,"iPod B-aspect is O brilliant O , O but O service B-aspect was O awful O",ipod.txt,"iPod[+3],service[-2]","['iPod', 'service']"
49,Wow O iPod O . O,ipod.txt,,[]
50,How O did O we O listen O to O music O before O it O ? O,ipod.txt,,[]
51,"This O 20 O gigabyte O iPod O by O Apple O Computer O allows O you O to O put O up O to O 5000 O songs O onto O it O , O in O a O choice O of O digital O formats O . O MP3 O , O AAC O , O etc O . O",ipod.txt,,[]
52,"The O software O with O the O iPod O includes O iTunes B-aspect , O which O allows O you O to O play O the O music O on O your O computer O , O rip O CDs O onto O your O computer O , O and O move O your O music O from O the O computer O to O the O iPod O . O",ipod.txt,iTunes[+2],['iTunes']
53,"iTunes O is O a O great O piece O of O software O , O and O you O can O also O buy O songs O from O the O iTunes O Store O at O 99 O cents O per O download O . O",ipod.txt,,[]
54,This O new O click B-aspect wheel I-aspect iPod O allows O you O to O navigate O through O the O menus O and O song O via O a O touch-wheel O for O scrolling O and O click-able O buttons O for O selection O . O,ipod.txt,click wheel[+2],['click wheel']
55,It O allows O fast O and O easy O navigation O . O,ipod.txt,,[]
56,The O backlit O screen O of O the O iPod O is O also O easy O to O read O . O,ipod.txt,,[]
57,"The O song B-aspect quality I-aspect of O the O iPod O is O excellent O , O and O the O included O ear B-aspect buds I-aspect are O actually O more O than O satisfactory O , O for O most O users O . O",ipod.txt,"song quality[+3],ear buds[+3]","['song quality', 'ear buds']"
58,"The O back O of O the O iPod O is O in O a O chrome O finish O , O and O this O surface O is O prone O to O scratches B-aspect . O",ipod.txt,scratches[-1],['scratches']
59,It O is O best O to O protect O the O iPod O in O a O case O of O some O kind O . O,ipod.txt,,[]
60,"Battery B-aspect life I-aspect keeps O improving O on O the O iPod O , O and O a O new O iPod O will O give O you O up O to O twelve O hours O of O play O time O , O per O charge O . O",ipod.txt,Battery life[+1],['Battery life']
61,I O use O my O iPod O all O the O time O . O,ipod.txt,,[]
62,"You O can O also O use O it O as O an O external O hard O drive O to O back-up O documents O , O photographs O , O etc O . O",ipod.txt,,[]
63,The O problem O with O my O iPod O . O,ipod.txt,,[]
64,The O first O one O I O received O skipped O songs O randomly O . O,ipod.txt,,[]
65,"I O had O to O send O it O in O for O repair O , O and O it O took O six O weeks O to O get O a O replacement O back O to O me O . O",ipod.txt,,[]
66,"I O actually O had O to O contact O Apple O 's O Vice-president O , O in O order O to O get O the O situation O resolved O . O",ipod.txt,,[]
67,"However O , O he O quickly O helped O me O , O and O I O have O been O enjoying O my O replacement O 20 O gigabyte O click-wheel O iPod O for O several O months O now O . O",ipod.txt,,[]
68,Thank O you O Apple B-aspect ! O You O make O fabulous O products O . O,ipod.txt,Apple[+2],['Apple']
69,"The O product B-aspect I O rate O five O stars O , O",ipod.txt,product[+2],['product']
70,but O I O had O to O give O you O four O because O the O service B-aspect for O my O brand-new O iPod O was O terribly O slow O . O,ipod.txt,service[-2],['service']
71,"However O , O you O should O still O buy O an O iPod O ! O",ipod.txt,,[]
72,The O chances O of O getting O a O flawed O one O is O very O small O indeed O . O,ipod.txt,,[]
73,"Plus O , O if O you O order O from O Amazon.com O , O they O will O exchange O it O for O you O no O problem O . O",ipod.txt,Amazon[+2],['Amazon']
74,"I O had O ordered O a O customized O one O from O Apple.com O , O so O I O could O n't O exchange O it O . O",ipod.txt,,[]
75,iPod O will O change O the O way O you O enjoy O music O ! O,ipod.txt,,[]
76,Very O Pleased O . O,ipod.txt,,[]
77,"I O 'd O never O had O an O MP3 O player O before O , O so O this O was O a O new O one O on O me O . O",ipod.txt,,[]
78,The O interface B-aspect took O a O little O getting O used O to O . O,ipod.txt,interface[-1],['interface']
79,The O best O thing O for O anyone O to O do O who O has O not O used O one O is O to O ask O the O store O clerk O at O apple O or O a O teenager O for O advice O on O how O to O operate O it O . O,ipod.txt,,[]
80,"This O one O has O a O color O display B-aspect , O which O I O like O a O lot O , O being O very O visual O . O",ipod.txt,display[+2],['display']
81,"I O loaded O a O lot O of O photos B-aspect into O it O and O they O display O very O clearly O for O such O a O small O screen O and O , O very O importantly O , O the O transition O from O one O photo O to O the O next O is O instantaneous O . O",ipod.txt,photos[+2],['photos']
82,The O sound B-aspect is O just O fine O . O,ipod.txt,sound[+1],['sound']
83,"I O 'm O not O a O big O audiophile O , O but O I O have O no O objections O to O how O it O sounds O . O",ipod.txt,,[]
84,I O use O it O to O listen O to O language O tapes O and O to O play O `` O Earl O '' O by O the O Dixie O Chicks O incessantly O . O,ipod.txt,,[]
85,"It O comes O with O an O adapter B-aspect to O plug O into O the O wall O , O which O I O hear O is O a O step O up O from O the O other O iPods O , O which O require O you O plug O it O into O a O computer O to O charge O it O . O",ipod.txt,adapter[+1],['adapter']
86,"I O also O have O been O using O it O as O a O USB O device O , O which O just O tickles O me O no O end O . O",ipod.txt,,[]
87,"Now O , O I O can O back O up O what O little O I O keep O on O my O computer O quickly O and O without O a O fuss O . O",ipod.txt,,[]
88,One O caveat O I O have O is O that O I O understand O the O iPod O does O not O save O the O photos O in O such O a O way O that O the O quality O of O the O image O is O preserved O . O,ipod.txt,photo quality[-1],['photo quality']
89,I O think O its O the O 21st O century O version O of O the O wallet O with O little O photos O . O,ipod.txt,,[]
90,Here O 's O the O TRUTH O in O short O ... O . O,ipod.txt,,[]
91,"This O is O a O great O device O , O but O there O are O its O pros O and O cons O . O",ipod.txt,,[]
92,Pros O : O Large O Hard B-aspect Drive I-aspect for O the O $ O $ O -- O 20GB O and O 40GB O are O both O affordable B-aspect . O,ipod.txt,"Hard Drive[+2], affordable[+2]","['Hard Drive', 'affordable']"
93,Decently O Sized O Screen B-aspect -- O One O of O the O larger O ones O on O the O market O at O 2 O '' O,ipod.txt,Screen[+2],['Screen']
94,"Decent O Battery B-aspect -- O On O the O average O size O , O but O the O 40GB O comes O with O a O dock O . O",ipod.txt,Battery[+1],['Battery']
95,"12 O hours O is O about O average O , O and O it O has O an O AC O adapter O in O the O box O , O with O quick O charge O 2 O hours O at O probably O 80 O % O ... O and O 4 O hours O for O a O full O charge O . O",ipod.txt,,[]
96,"FireWire B-aspect & O USB2.0 O -- O For O those O fortunate O enough O to O have O FireWire400 O , O your O in O for O a O real O treat O with O autosync O . O",ipod.txt,"FireWire[+3],USB[+3]","['FireWire', 'USB']"
