,text,dataset,aspect_str,aspects
0,"I O have O read O the O installation O instructions O for O both O NIS O 2004 O and O NAV O 2004 O prior O to O installation O , O but O still O ended O up O with O the O same O result O ... O junk O software B-aspect . O",norton.txt,software[-3],['software']
1,Why O is O it O that O I O can O install O any O other O type O of O software O and O it O installs O and O works O properly O ? O,norton.txt,,[]
2,"But O if O I O installed O either O one O of O these O Norton B-aspect products I-aspect , O neither O works O after O installation O ? O",norton.txt,Norton products[-3],['Norton products']
3,"It O can O not O be O the O computer O or O the O owner O , O since O I O purchased O McAfee B-aspect Anti-Virus I-aspect 8 I-aspect and O it O installs O and O works O fine O with O no O problems O . O",norton.txt,McAfee Anti-Virus 8[+2]],['McAfee Anti-Virus 8']
4,"I O have O used O Norton B-aspect for O the O past O 5 O years O and O for O the O last O 2 O years O , O the O software O has O gotten O more O and O more O disgraceful O . O",norton.txt,Norton[-2],['Norton']
5,I O am O glad O that O I O do O not O work O for O Norton B-aspect . O,norton.txt,Norton[-2],['Norton']
6,I O have O used O Norton O products O in O the O past O and O I O am O familiar O with O them O . O,norton.txt,,[]
7,I O bought O NIS O 2004 O recently O to O try O it O out O . O,norton.txt,,[]
8,"After O 4 O attempted O installs O , O I O have O finally O given O up O . O",norton.txt,Installation[-2],['Installation']
9,"I O am O thankful O that O I O have O Roxio O GOBACK O , O I O had O to O use O it O 3 O of O the O 4 O times O . O",norton.txt,,[]
10,"During O install O , O NIS B-aspect would O either O freeze O or O not O reboot O properly O when O asked O to O do O so O . O",norton.txt,NIS[-2],['NIS']
11,"The O MS O scandisk O would O appear O due O to O Manual B-aspect shutdown I-aspect and O would O only O scan O to O the O 2nd O bar O , O over O and O overup O to O 1 O hr O , O I O then O shut O it O down O and O used O GOBACK O . O",norton.txt,Manual shutdown[-2],['Manual shutdown']
12,"The O 1 O time O it O did O install O , O it O did O not O work O and O had O errors O , O I O used O the O unistall O NIS O icon O and O it O properly O removed O itself O . O",norton.txt,"product[-3],uninstall[+2]","['product', 'uninstall']"
13,I O have O never O had O this O problem O with O any O other O software O on O my O computer O . O,norton.txt,Norton[-3] ,['Norton']
14,NIS B-aspect 2003 I-aspect worked O like O a O charm O last O year O . O,norton.txt,NIS 2003[+2],['NIS 2003']
15,"Being O a O past O Norton B-aspect customer O , O I O consider O this O to O be O a O slap O to O my O face O . O",norton.txt,Norton[-3],['Norton']
16,Buying O software O that O can O not O be O installed B-aspect normally O and O being O put O into O the O position O of O having O a O non-working O computer O . O,norton.txt,installed[-2],['installed']
17,"Norton B-aspect has O been O on O a O downhill O slid O recently O with O their O products O , O but O with O this O one O , O they O have O fallen O off O the O cliff O . O",norton.txt,Norton[-3],['Norton']
18,"As O a O loyal O customer O of O Norton/Symantec O products O , O I O purchased O Internet O Security O 2004 O as O a O software O firewall O and O could O not O be O any O more O dissatisfied O with O the O product B-aspect and O hence O the O one O star O rating O . O",norton.txt,product[-3] ,['product']
19,Here O 's O why O : O,norton.txt,,[]
20,Yeah O - O this O program B-aspect protects O your O computer O all O right O - O by O locking O you O off O the O internet O . O,norton.txt,program[-3],['program']
21,Anti-Spam B-aspect is O Good O,norton.txt,Anti-Spam[1],['Anti-Spam']
22,The O latest O of O Internet O Security O has O antispam B-aspect function I-aspect that O is O helpful O because O I O has O received O a O mountain O of O those O these O days O . O,norton.txt,antispam function[2],['antispam function']
23,Other O than O that O it O is O all O the O same O except O the O new O updates B-aspect . O,norton.txt,updates[-2],['updates']
24,But O that O is O good O for O me O because O Symantec B-aspect softwares I-aspect are O a O bit O hard O to O master O for O me O who O are O not O savvy O on O computers O . O,norton.txt,Symantec softwares [+2] ,['Symantec softwares ']
25,So O far O I O have O n't O had O so O much O complaints O except O that O I O still O have O n't O mastered O how O to O scandisk B-aspect when O using O Internet O Security O . O,norton.txt,scandisk[-1],['scandisk']
26,Too O bad O the O product B-aspect is O cumbersome O and O intertwined O trying O to O do O so O much O at O one O time O . O,norton.txt,product[-2],['product']
27,Sometimes O a O suite B-aspect is O not O a O good O deal O and O all O you O get O is O a O bundle O of O headaches O . O,norton.txt,suite[-2],['suite']
28,"I O 'm O not O sure O why O all O the O bad O reviews O , O my O computer O is O n't O especially O slowed O down O and O I O have O Win'98 O . O",norton.txt,speed[+1],['speed']
29,"Sure O , O it O slows O it O down O a O little O , O but O that O 's O expected O . O",norton.txt,speed[+1],['speed']
30,"Perhaps O Semantic B-aspect could O work O out O the O efficiency O a O little O , O but O these O reviews O are O highly O exagerated O ... O I O would O ask O what O else O these O people O are O running O on O their O computers O ? O",norton.txt,Semantic[+1],['Semantic']
31,I O would O ask O what O else O these O people O are O running O on O their O computers O ? O,norton.txt,,[]
32,"So O , O if O you O have O a O fairly O fast O computer O 1 O gig O or O better O with O plenty O of O ram O 512 O and O your O not O gaming O online O or O running O streaming O video O continually O , O you O should O be O fine O . O",norton.txt,,[]
33,"This O is O pretty O standard O for O an O up O to O date O computer O anymore O , O so O what O 's O the O fuss O ? O",norton.txt,,[]
34,I O 've O been O using O Norton O Anti-Virus O in O its O many O incarnations O for O over O 5 O years O . O,norton.txt,,[]
35,Norton O Internet O Security O 2004 O is O one O of O the O more O buggy O implementations O . O,norton.txt,NIS2004[-2],['NIS2004']
36,Even O for O computer O super-heros O it O 's O a O pain O to O maintain O when O there O is O a O problem O . O,norton.txt,,[]
37,I O also O reviewed O Norton O System O Works O 2004/Professional O . O,norton.txt,,[]
38,This O product O has O virtually O all O the O same O installation B-aspect problems O . O,norton.txt,installation[-2],['installation']
39,"For O purposes O of O clarity O , O here O is O my O review O from O that O product B-aspect , O edited O to O be O appropriate O for O this O product B-aspect , O since O , O for O the O most O part O , O they O share O many O of O the O same O problems O . O",norton.txt,product[-1],['product']
40,Something O happened O with O this O release O for O Norton O System O Works O 2004 O and O for O `` O Internet O Security O 2004 O '' O . O,norton.txt,,[]
41,This O is O the O fourth O version O of O SystemWorks B-aspect and O the O second O version O of O Internet B-aspect Security I-aspect that O I O have O used O and O it O has O always O been O a O favorite O . O,norton.txt,"SystemWorks[+3], Internet Security[+3]","['SystemWorks', 'Internet Security']"
42,"It O has O saved O my O system O on O more O than O one O occasion O , O and O makes O disc O clean O up O a O snap O . O",norton.txt,,[]
43,"The O antivirus B-aspect feature O is O phenomenal O , O and O is O regularly O updated O . O",norton.txt,antivirus[2],['antivirus']
44,"I O think O their O antivirus B-aspect software O was O one O of O , O if O not O the O best O , O on O the O",norton.txt,antivirus[2],['antivirus']
45,"Well O , O no O more O . O",norton.txt,,[]
46,"This O version O of O Internet B-aspect Security I-aspect 2004 I-aspect , O is O beyond O hope O . O",norton.txt,Internet Security 2004[-3],['Internet Security 2004']
47,"They O are O a O royal O pain O to O install B-aspect , O and O do O n't O function B-aspect properly O once O finally O installed O -- O if O you O can O install B-aspect them O at O all O . O",norton.txt,"install[-3], function[-2]","['install', 'function']"
48,The O biggest O problem O is O the O installation B-aspect . O,norton.txt,installation[-3],['installation']
49,"Also O if O you O do O manage O to O get O it O installed B-aspect , O any O problems O with O LiveUpdate B-aspect or O with O System B-aspect Works I-aspect will O also O affect O the O functionality O and/or O the O process O of O updating O Internet B-aspect Security I-aspect . O",norton.txt,"installed[-2],LiveUpdate[-1], System Works[-1], Internet Security[-1]","['installed', 'LiveUpdate', 'System Works', 'Internet Security']"
50,"I O 've O had O to O install O and O uninstall O them O four O or O five O times O so O far O , O and O I O 've O not O to O get O either O product B-aspect working O properly O . O",norton.txt,product[-3],['product']
51,Why O they O brought O this O to O market O is O beyond O me O . O,norton.txt,,[]
52,"First O , O it O serious O , O serious O installation B-aspect problems O . O",norton.txt,installation[-3],['installation']
53,"Back O in O May O 2004 O , O when O I O first O reviewed O this O , O it O had O taken O me O over O 16 O hours O to O install B-aspect and O run O . O",norton.txt,install[-3],['install']
54,"Since O then O , O I O have O had O one O problem O after O another O . O",norton.txt,,[]
55,To O say O that O it O is O `` O buggy O '' O would O be O the O world O 's O most O profound O understatement O . O,norton.txt,,[]
56,"Almost O from O the O beginning O , O LiveUpdate B-aspect would O not O function O . O",norton.txt,LiveUpdate[-2],['LiveUpdate']
57,"First O , O it O failed O whenever O connecting O to O get O updates B-aspect . O",norton.txt,updates[-2],['updates']
58,"When O I O finally O got O it O working O , O it O only O worked O properly O for O many O a O month O . O",norton.txt,LiveUpdate[-2],['LiveUpdate']
59,"The O next O problem O was O that O it O did O n't O recognize O all O the O installed O components B-aspect , O so O it O would O not O update O them O , O most O notably O and O importantly O , O virus O definitions O . O",norton.txt,components[-2],['components']
60,"Without O this O important O feature O , O both O SystemWorks O and O Internet O Security O are O all O but O useless O . O",norton.txt,,[]
61,"Without O updated O virus O definiations O , O your O PC O is O also O at O serious O risk O ! O",norton.txt,,[]
62,"Once O installed O , O however O , O some O of O the O functions B-aspect do O work O OK O Disk O Doctor O , O One O Button O Checkup O , O and O WinDoctor O . O",norton.txt,functions[+1] ,['functions']
63,"These O tasks O are O faster B-aspect and O easier O than O in O prior O versions O , O and O I O found O the O menu B-aspect to O be O much O more O navigable O . O",norton.txt,"faster[+1], menu[+2]","['faster', 'menu']"
64,"But O this O does O n't O make O up O for O it O 's O innumerable O other O short-comings O , O the O biggest O of O which O is O the O inability O to O download O any O updates O due O to O problems O with O LiveUpdate B-aspect . O",norton.txt,LiveUpdate[-2],['LiveUpdate']
65,The O other O annoyance O with O this O that O you O have O to O remove O every O single O remnant O of O previous O version O of O Norton O SystemWorks O before O you O installs B-aspect this O . O,norton.txt,installs[-2],['installs']
66,"Warning O ! O The O Windows O `` O remove O program O '' O feature O does O not O do O a O good O job O of O this O , O and O neither O does O Norton O 's O own O removal B-aspect program I-aspect . O",norton.txt,removal program[-2],['removal program']
67,"A O lot O of O `` O fragments B-aspect '' O were O left O in O the O Registry O , O and O it O the O Norton O system O folders O . O",norton.txt,fragments[-2] ,['fragments']
68,"Their O website O had O a O download O that O helped O remove B-aspect those O , O although O I O had O to O manually O remove B-aspect a O good O number O of O files O from O the O `` O Programs O '' O directory O . O",norton.txt,remove[+1],['remove']
69,"If O you O have O an O older O version O of O `` O Internet O Security O '' O installed O , O you O may O also O need O to O remove O it O as O well O before O proceeding O with O SystemWorks O install B-aspect . O",norton.txt,install[-3],['install']
70,You O also O need O to O go O in O and O MANUALLY O remove B-aspect many O Symantec O files O from O the O REGISTRY O . O,norton.txt,remove[-2],['remove']
71,Intructions O for O doing O so O are O on O Symantecs O website O . O,norton.txt,,[]
